keyword,count
Deep Learning,4
LSTM,3
Gated recurrent unit,2
Sentiment Analysis,2
빅데이터,2
GRU,2
Video surveillance,1
셀프 매칭 어텐션,1
상호참조해결,1
Phoneme Unit,1
Sequential Model,1
러시아 해외정보기관의 역할,1
Data augmentation,1
FastText,1
Recurrent neural network,1
Sequence modeling,1
Group activity recognition,1
Neural Network,1
포인터 네트워크,1
unknown word,1
Big Data,1
coreference resolution,1
self-matching attention,1
pointer networks word,1
보안,1
보안로그,1
이벤트,1
내부정보 유출 방지,1
위험관리,1
Insider Data Leakage,1
Risk classification,1
Performance Comparison,1
Urban railway station,1
Load pattern,1
Deep learning,1
Machine Learning,1
자연언어분석,1
감성분석,1
encoding-decoding,1
해외정보국,1
정보총국,1
해외 첩보 활동,1
Role of Russia’s Overseas Intelligence Agencies,1
Change of Awareness of Security,1
SVR,1
Overseas Intelligence Activities,1
인코딩-디코딩,1
sequence-to-sequence,1
순차정보 신경망,1
자동 띄어쓰기,1
드롭아웃,1
계층 정 규화,1
sequence-to-sequence neural network,1
안보인식의 변화,1
auto spacing,1
drop-out,1
layer normalization,1
Genre Classification,1
Word2Vec,1
Long Short-Term Memory (LSTM),1
Gated Recurrent Unit (GRU),1
Convolutional Neural Networks (CNN),1
Word embedding,1
문서 분류,1
Doc2vec 순환신경망,1
기계학습,1
심층신경망,1
Recursive neural networks,1
