title,date,keywords,abstract,multilingual_abstract
순환신경망 장단기 기억(LSTM)을 이용한 자동 채점의 가능성 탐색,2021,"['순환신경망', '자동 채점', '장단기 기억']","본 연구에서는 순환신경망의 일종인 장단기 기억(Long-Short Term Memory: LSTM)를이용하여 영어 에세이 자동 채점 가능성을 탐색하였다. LSTM은 기존의 순환신경망(RecurrentNeural Network; RNN)이 갖는 장기의존성의 문제를 극복하기 위해 제안된 학습 모델로, 본연구에서는 이러한 LSTM 모델을 활용하여 영어 에세이 데이터를 학습시킨 후, 별도의 평가데이터를 통해 LSTM의 성능을 평가하였다. 이분(二分) 자료의 형태를 갖는 선다형 채점 데이터와달리 에세이 채점 데이터는 다분(多分) 자료의 형태를 가지므로 본 연구에서는 다항 분류가가능하도록 학습 모델을 구축하여 점수를 예측하였으며, 이러한 LSTM 학습 모델을 여섯 가지지표(정확성, 정밀도, 재현율, F1, 카파, 상관계수)로 평가하였다. 그 결과를 살펴보면, 본 연구에서구축한 LSTM 학습 모델이 학생들의 에세이 점수를 양호한 수준에서 예측할 수 있음을 확인하였다.또한 학습 모델의 성능을 결정하는 주요 요인 중 하나가 데이터의 질과 양임을 감안할 때 향후충분한 양질의 데이터를 구축하여 학습할 경우 자동 채점의 정확성을 보다 향상시킬 수 있을 것으로기대된다. 후속 연구로는 최적의 에세이 자동 채점 알고리듬을 도출하기 위해 향후 다양한순환신경망 모델을 비교 검토하는 실증 연구들이 수행될 필요가 있다.","In the present study, the feasibility of an automated essay scoring of English wasexplored using Long-Short Term Memory (LSTM), a type of Recurrent Neural Network(RNN). LSTM is a deep learning model proposed to overcome the problem of long-termdependence of the existing RNN. In this study, an automated essay scoring modelbased on LSTM was adopted to score English essay data extracted from the open hugerepository of data ‘kaggle,’ and the performance of the model was validated. Unlikemultiple-choice scoring data which consisted of binary (true/false) data, essay scoringdata had multiple facets, thus the data used for the deep learning model wasconstructed within a multinomial classification to order to predict scores of thoseessay data. For its validation, the six indices of ‘accuracy,’ ‘precision,’ ‘recall’,‘F1-measure,’ ‘kappa,’ and ‘correlation coefficient’ were used. As a result, it turnedout that the LSTM model could predict students' essay scores at an appropriate level.The performance of the deep learning model is closely related to the quality andquantity of data, thus it is expected that the accuracy of the automated essay scoringcould be improved if sufficient quality data is composed and used for the deeplearning process. To derive a more valid and reliable algorithm, it is necessary toconduct further empirical studies by testing various RNN models."
LSTM 기반 딥러닝 기법을 이용한 섬진강 구례교 지점의 홍수위 예측,2021,"['머신러닝', '딥러닝', 'LSTM', '홍수위 예측', 'Machine Learning', 'Deep Learning', 'LSTM', 'Flood Stage Forecasting']","기후변화와 기후변동으로 인한 극한 호우의 발생으로 홍수 피해는 증가하는 추세에 있다. 특히, 인명 손실을 포함한 하천홍수 피해 저감을 위해 비구조적 방법인 홍수예경보시스템은 매우 중요하게 인식되고 있으며, 홍수예경보는 물리적 모형인 강우-유출 모형에 의한 홍수량 및 홍수위 예측을 통해 이루어져 왔다. 그러나 최근에는 기존 물리적 기반의 홍수위 예측 모형의 단점을 보완한 머신러닝 기반의 홍수위 예측 모형을 적용한 연구들이 진행되고 있으나 다양한 사례에 대한 적용 연구가 지속적으로 필요한 실정이다. 따라서 본 연구에서는 Long Short-Term Memory (LSTM) 기반의 딥러닝 기법을 적용하여 섬진강 수계 구례 지점의 하천 수위를 1, 3, 6시간 선행 예측하고, 선행 예측 시간에 따른 예측 정확도를 비교 분석하고자 한다. 또한 기존의 서포트벡터머신(SVM) 모형, 다층퍼셉트론(MLP) 모형을 적용한 결과와의 비교 분석을 통해 LSTM 모형의 적용성을 평가하고자 하였다. 평가 결과, LSTM 모형이 다른 모형 보다 우수한 예측 성능을 보이고 있음을 알 수 있었으며, 향후 홍수 예측을 위해 LSTM 모형의 적용성을 보다 심층적으로 연구할 필요가 있다.","Instances of flood damage caused by extreme storm rainfall due to climate change and variability have been showing an increasing trend. Particularly, a flood forecasting and warning system has been recognized as an important nonstructural measure for flood damage reduction, including loss of life. Flood forecasting and warning have been performed by the forecasts of flood discharge and flood stage using the physically based rainfall-runoff models. However, recently, studies involving the application of a machine learning-based flood forecasting models, which addresses the limitations of extant physically based flood stage forecasting models, have been performed. We may require various case studies to determine more accurate methods. Therefore, this study performed the real-time forecasting of the river water level or stage at the Gurye station of the Sumjin river with lead times of 1, 3, and 6 h by applying a long short-term memory (LSTM)-based deep learning model. In addition, the applicability of the LSTM model was evaluated by comparing the results with those from widely used models based on support vector machine and multilayer perceptron. Consequently, we noted that the LSTM model exhibited a relatively better forecasting performance. Therefore, the applicability of the LSTM model should be extensively studied for flood forecasting applications."
LSTM과 GRU를 활용한 도시공간 특성 기반의 평균기온 예측 모델: 강원도 원주시를 대상으로,2021,"['Prediction of Average temperature', 'Deep-Learning', 'LSTM', 'GRU', 'Wonju', '평균기온 예측 딥러닝', 'LSTM', 'GRU', '원주시']","지구온난화로 인한 기후변화로 연평균기온이 계속해서 상승하는 추세를 보이면서 온열질환 발생률과 사망자 수도 증가하고 있어 이를 위한 다양한 대안과연구가 수행될 필요가 있다. 이에 본 논문에서는 연평균기온 상승률 및 변화량이 높은 원주시를 대상으로 통계분석을 통해 평균기온 상승 관련 변수를 추출하고, 추출된 변수를 토대로 딥러닝 기반의 LSTM과GRU를 활용하여 평균기온을 예측하자 한다. 선행연구 고찰을 토대로 수집한 26개의 변수에 대해 상관분석 및 회귀분석을 통해 3가지 모형을 추출하였고, 이를 바탕으로 LSTM과 GRU 분석을 진행하였다. 분석결과, 변수가 12개인 세 번째 모형에서 테스트 데이터 MSE가 LSTM – 0.4399(2.94°C), GRU – 0.4444 (2.97°C)로 가장 낮게 나타났고, 검증 데이터와 테스트 데이터 간의 MAE 차이가 거의 발생하지 않았다.본 논문은 연평균기온 상승 문제 적응을 위한 데이터확보 방안으로 통계분석을 통해 변수를 추출하고, 딥러닝을 활용해 평균기온을 예측하였다는 점에서 의의가 있다. 또한, 평균기온 변화 추세 예측과 함께 원주시의 평균기온 상승에 영향을 미치는 도시공간 요소를 추출하여, 획일화된 기후변화 적응방안이 아닌지역별 영향 요소를 고려한 적절한 방안을 마련할 수있을 것으로 기대된다.","As the annual average temperature continues to rise due to climate change caused by global warming, the incidence of heat diseases and the number of deaths are also increasing, which is expected to require various alternatives and research. In this study, the average temperature rise-related variables are extracted through statistical analysis for Wonju City, where the average temperature increase rate and change are high, and the average temperature is predicted by utilizing deep learning-based LSTM and GRU based on the extracted variables. Three models were extracted through correlation and regression analysis for 26 variables collected based on prior research consideration, based on which LSTM and GRU analysis were conducted. The analysis showed the lowest MSE of LSTM – 0.4399(2.94°C), GRU – 0.4444(2.97°C) in the third model with 12 variables, with little MAE difference between validation and test data. This study is significant in that it extracted variables through statistical analysis and predicted average temperature rise using deep learning as a data acquisition method for adapting the annual average temperature rise problem. In addition, it is expected that urban space factors that affect the average temperature rise in Wonju City will be extracted along with predicting the trend of average temperature change, and appropriate measures will be prepared to take into account regional impact factors, not uniform climate change adaptation."
Sequence to Sequence based LSTM (LSTM-s2s)모형을 이용한 댐유입량 예측에 대한 연구,2021,"['댐 유입량 예측', '딥러닝', 'LSTM with Sequence-to-Sequence learning', 'Dam inflow forecasting', 'Deep learning', 'LSTM with Sequence-to-Sequence learning']","효율적인 댐 운영을 위해서는 높은 신뢰도를 기반으로 하는 유입량 예측이 요구된다. 본 연구에서는 최근 다양한 분야에서 사용되고 있는 데이터 기반의 예측 방법 중 하나인 딥러닝을 댐 유입량 예측에 활용하였다. 그 중 시계열 자료 예측에 높은 성능을 보이는 Sequence-to-Sequence 구조 기반의 Long Short-Term Memory 딥러닝 모형(LSTM-s2s)을 이용하여 소양강 댐의 유입량을 예측하였다. 모형의 예측 성능을 평가하기 위해 상관계수, Nash–Sutcliffe 효율계수, 평균편차비율, 그리고 첨두값 오차를 이용하였다. 그 결과, LSTM-s2s 모형은 댐 유입량 예측에 대한 높은 정확도를 보였으며, 단일 유량 수문곡선 기반의 예측 성능에서도 높은 신뢰도를 보였다. 이를 통해 홍수기와 이수기에 수자원 관리를 위한 효율적인 댐 운영에 딥러닝 모형의 적용 가능성을 확인할 수 있었다.","Forecasting dam inflow based on high reliability is required for efficient dam operation. In this study, deep learning technique, which is one of the data-driven methods and has been used in many fields of research, was manipulated to predict the dam inflow. The Long Short-Term Memory deep learning with Sequence-to-Sequence model (LSTM-s2s), which provides high performance in predicting time-series data, was applied for forecasting inflow of Soyang River dam. Various statistical metrics or evaluation indicators, including correlation coefficient (CC), Nash-Sutcliffe efficiency coefficient (NSE), percent bias (PBIAS), and error in peak value (PE), were used to evaluate the predictive performance of the model. The result of this study presented that the LSTM-s2s model showed high accuracy in the prediction of dam inflow and also provided good performance for runoff event based runoff prediction. It was found that the deep learning based approach could be used for efficient dam operation for water resource management during wet and dry seasons."
LSTM을 이용한 돼지고기 가격 예측 연구,2021,"['Time series Prediction', 'Deep-Learning', 'ARIMA', 'SARIMA', 'autoARIMA', 'LSTM']",,"In this study, we propose LSTM, a technique for predicting pork prices to stabilize the supply and demand of pork. The LSTM model is trained using the attributes of day and month as additional inputs to historical time series data. The performance of the proposed LSTM model was compared to that of ARIMA, SARIMA, autoARIMA, and standard LSTM in terms of three performance metrics: mean absolute error (MAE), root mean squared error (RMSE), and mean absolute percentage error (MAPE). As a result of the experiment, the error rate of the proposed LSTM model was significantly lower than that of other existing methods. In future research, it will be necessary to redefine the analysis of causal relationships such as livestock substitutes and supplements, and to conduct practical studies such as linking OpenAPI with big data of public institutions to improve the accuracy of price prediction."
LSTM 신경망을 이용한 1차원 객체추적,2021,"['Artificial neural network', 'Kalman filter', 'Long-short term memory', 'Object tracking', 'Particle filter']","객체추적은 객체의 위치변화를 찾는 것으로, 이전시간의 객체의 위치와 주어진 관측 데이터를 바탕으로 객체의 위치를 추적하는 신호처리의 한 분야이다. 객체추적 기법에는 대표적으로 칼만필터와 파티클필터가 있는데, 두 필터 모두 시스템 모델을 알고 있어야 좋은 성능을 낼 수 있다. 퍼셉트론 신경망에 피드백 루프를 추가한 재귀신경망은 데이터의 시계열적 상관관계를 활용할 수 있어 객체 추적에도 사용되고 있으며, 장기의존성 문제를 해결한 LSTM으로 발전하여 다양한 분야에 활용되고 있다. 본 논문에서는 이러한 LSTM의 추적 성능을 검증하기 위하여 1차원 객체 추적이라는 공통의 문제를 설정하고, 칼만필터, 파티클필터와의 추적 성능을 비교한다. 보다 다양한 관측 환경에서의 추적 성능 비교검증을 위하여 가우시안 잡음 외에도 라플라스, 지수, 균등 분포의 잡음이 있는 경우도 상정하였다. 그 결과 LSTM 신경망은 시스템 모델이 주어지지 않고, 학습데이터만으로 학습을 하여 안정적인 성능을 낼 수 있다는 것을 확인하였다.","Object tracking is a technique of signal processing that estimates objects locations based on past locations and present time observed data. While, Kalman filter and particle filter are among the most notable object tracking schemes, these filters need to know the system model to achieve optimal performance. The recursive neural network (RNN) with a feedback loop added to the perceptron neural network can be used for object tracking. Also, RNN evolved into long-short term memory (LSTM) that solved the long-term dependence problem and is being used in various fields. In this paper, in order to study the tracking performance of LSTM, we consider a simple problem of one-dimensional object tracking, and compare the tracking performance with Kalman and particle filters. In order to test the tracking performance in diverse observation environments, various noise models such as Gaussian, Laplace, exponential, and uniformly distributed noises are considered. Under the various circumstances, we observe that LSTM neural network achieves fairly stable performance without knowing the system model."
Attention LSTM과 SHAP을 사용한 설명 가능한 COVID-19 확진자 수 예측 기법,2021,"['코로나19 예측', 'LSTM', '어텐션 매커니즘', 'SHAP', 'COVID-19 Forecasting', 'LSTM', 'Attention Mechanism', 'SHAP']","COVID-19의 확산으로 인해 세계적으로 많은 손실이 보고되고 있다. 효과적인 확산 방지 대책을 수립하기 위해서는 COVID-19 확산 정도의 정확한 예측이 필요하며, 이를 위해 확산 초기부터 기계적 접근법이나 기계학습 기반 접근법 등을 활용한 기법들이 제안되어왔다. 그러나 최근 백신 도입으로 인하여 변화된 확산 패턴에 적합한 예측 모델이 필요하며, 기계학습 기반 접근법을 통해 예측 정확도는 높아졌으나 모델의 설명성이 부족하여 충분한 신뢰를 주지 못하는 실정이다. 이에, 본 논문에서는 Attention LSTM(Long Short-Term Memory) 모델을 사용하여 COVID-19 확진자 수를 예측하고, 그 결과를 SHAP(SHapley Additive exPlanations)을 통하여 분석하는 설명 가능한 COVID-19 확진자 수 예측 기법을 제안한다. 백신 접종 데이터를 포함한 COVID-19 관련 다양한 데이터를 수집하고, Attention LSTM 모델의 입력 변수로 사용함으로써 백신 도입으로 인한 변화를 반영하였다. 다양한 모델과의 비교 실험을 통하여 제안한 모델의 우수한 예측 성능을 보였으며, SHAP을 통해 예측 결과에 대한 설명 가능성을 입증하였다.","Due to the spread of COVID-19, many losses are being reported worldwide. In order to establish effective countermeasures to prevent the spread of COVID-19, it is necessary to accurately predict the extent of the spread of COVID-19. However, due to the recent introduction of vaccines, a forecasting model suitable for the changed diffusion pattern is needed, and although the forecasting accuracy has been improved through a machine learning-based approach, the model does not provide sufficient confidence due to the lack of explanatory properties of the model. Therefore, in this paper, we propose an explainable forecasting scheme that forecasts the number of COVID-19 confirmed cases using an Attention LSTM(Long Short-Term Memory) model and explains the analysis results using SHAP(SHapley Additive exPlanations). Changes due to introduction of vaccines were reflected by collecting various data related to COVID-19, including vaccination data, and using it as an input variable for the Attention LSTM model. Through comparative experiments with various models, we demonstrated the excellent forecasting performance of the proposed model and the explanatory capacity of the SHAP for the results."
LSTM 기반 멀티스텝 트래픽 예측 기법 평가,2021,"['Software-Defined Networking (SDN)', 'LSTM', 'Multi-step Traffic Prediction']","최근 IoT 기기들의 활성화에 의해 네트워크가 복잡해짐에 따라, 네트워크의 혼잡을 예측하고 미리 대비하기 위해 단기 트래픽 예측을 넘어 장기 트래픽 예측 연구가 활성화되고 있다. 단기 트래픽 예측 결과를 입력으로 재사용하는 재귀 전략은 멀티 스텝 트래픽 예측으로 확장되었지만, 재귀 단계가 진행될수록 오류가 축적되어 예측 성능 저하를 일으킨다. 이 논문에서는 다중 출력 전략을 사용한 LSTM 기반 멀티스텝 트래픽 예측 기법을 소개하고 그 성능을 평가한다. 실제 DNS 요청 트래픽을 기반으로 실험한 결과, 제안된 LSTM기반 다중출력 전략 기법은재귀 전략 기법에 비해 비정상성 트래픽에 대한 트래픽 예측 성능의 MAPE를 약 6% 줄일 수 있음을 확인하였다.","Recently, as networks become more complex due to the activation of IoT devices, research on long-term traffic prediction beyond short-term traffic prediction is being activated to predict and prepare for network congestion in advance. The recursive strategy, which reuses short-term traffic prediction results as an input, has been extended to multi-step traffic prediction, but as the steps progress, errors accumulate and cause deterioration in prediction performance. In this paper, an LSTM-based multi-step traffic prediction method using a multi-output strategy is introduced and its performance is evaluated. As a result of experiments based on actual DNS request traffic, it was confirmed that the proposed LSTM-based multiple output strategy technique can reduce MAPE of traffic prediction performance for non-stationary traffic by 6% than the recursive strategy technique."
SOM과 LSTM을 활용한 지역기반의 부동산 가격 예측,2021,"['Deep Learning', 'LSTM', 'Time Series Data', 'HP Filter', 'Regional Analysis']",,"PurposeThe study aims to predict real estate prices by utilizing regional characteristics. Since real estate has the characteristic of immobility, the characteristics of a region have a great influence on the price of real estate. In addition, real estate prices are closely related to economic development and are a major concern for policy makers and investors. Accurate house price forecasting is necessary to prepare for the impact of house price fluctuations. To improve the performance of our predictive models, we applied LSTM, a widely used deep learning technique for predicting time series data.Design/methodology/approachThis study used time series data on real estate prices provided by the Ministry of Land, Infrastructure and Transport. For time series data preprocessing, HP filters were applied to decompose trends and SOM was used to cluster regions with similar price directions. To build a real estate price prediction model, SVR and LSTM were applied, and the prices of regions classified into similar clusters by SOM were used as input variables.FindingsThe clustering results showed that the region of the same cluster was geographically close, and it was possible to confirm the characteristics of being classified as the same cluster even if there was a price level and a similar industry group. As a result of predicting real estate prices in 1, 2, and 3 months, LSTM showed better predictive performance than SVR, and LSTM showed better predictive performance in long-term forecasting 3 months later than in 1-month short-term forecasting."
Xception과 양방향 LSTM을 통한 뇌종양 진단에 관한 연구,2021,"['Deep Learning', 'Artificial Intelligence', 'Xception', 'Diagnosis', 'CNN', 'LSTM', 'Brain Tumor']","뇌종양은 전체 종양 중 세 번째로 많을 뿐만 아니라 우리나라에서도 환자 수가 늘어나는 추세이다. 하지만 영상기반 검사가 주로 이루어지는 뇌종양의 경우, 전문의가 판단하기 때문에 판독 결과에 오류가 생길 가능성이 있다. 이를 방지하고자 인공지능 기반의 진단 방법이 도입되고 있다. 본 연구의 목적은 뇌종양을 단순히 2가지(정상, 비정상)가 아닌 4가지(교종, 뇌수막종, 뇌수하체 종양, 정상)로 더 정교하게 진단하고, 다른 모델들과 정확도를 비교하는 것이다. 또한, 단순 분류가 아닌 이미지 분할을 통해 환자로 분류한 근거를 시각화한다. 이를 위해 본 논문에서는 Xception과 양방향 LSTM을 활용한 모델을 통해 MRI 사진을 4가지로 분류하고 정확도를 다른 딥러닝 알고리즘들과 비교, 분석한다. 또한, CAM(Class Activation Map)을 통해 이상 부위를 시각화한다. 분석 결과 본 연구에서 제안하는 모델이 정확도 86%를 보이며 가장 높은 정확도를 기록하였다. 특히, 단순히 Xception 모델을 사용하였을 때 보다 8%가 증가하였다. 따라서 본 연구는 두 가지 의의를 가진다. 첫번째로, 단순 Xception 모델보다 Xception 모델에 양방향 LSTM을 추가하였을 때, VGG16, MobileNet과 같은 다른 CNN기반의 사전 훈련된 딥러닝 모델들보다 성능이 높다는 결론을 도출했다는 점에서 의의가 있다. 두번째로, 기존 2단계로 예측하던 뇌종양 진단을 4단계로 분류함과 동시에 이상 부위를 시각화하여 더욱 정교한 뇌종양 진단 모델을 개발하였다는 점에 의의가 있다.","Brain tumors have the third-largest incidence among tumors, and the number of patients is increasing continuously in Korea. On the other hand, as the diagnosis of brain tumor is conducted mainly through a vision-based inspection by doctors, there is a possibility of errors in the stage of inspection. Artificial intelligence-based diagnostic methods are being introduced to prevent this problem. This study attempted to classify patients into more sophisticated stages (normal, glioma, pituitary, and meningioma) than previous research, which classified them into two stages (normal and patient). The accuracy of the proposed model was compared, and the anomalous part of the brain was visualized. To this end, MRI pictures were classified into four categories through Xception + Bi-directional LSTM and compared to the other pretrained models. Furthermore, the anomalous part of the brain was visualized through CAM (Class Activation Map). The proposed model achieved 86%, which is 8% higher than the simple Xception model. This research is significant in finding that the Xception + Bi-directional LSTM model showed higher accuracy than other pretrained models, such as simple Xception, VGG16, and MobileNet. Furthermore, this research is also worthwhile because the patients could be classified into four categories with high accuracy, and the anomaly parts could be visualized."
