title,date,keywords,abstract,multilingual_abstract
데이터 분석적 사고력 향상을 위한 딥러닝 기반 학습 시스템 개발 연구,2017,"['데이터 분석적 사고력', '딥러닝', '발견학습', '딥러닝 기반 학습 시스템', '인공지능', 'Data analytic thinking', 'Deep learning', 'Discovery learning', 'Deep Learning based System', 'Artificial intelligence']","본 연구의 목적은 학습자의 데이터 분석적 사고력 향상을 위한 딥러닝 기반 학습 시스템 개발 연구이다. 연구의 내용은 다음과 같다. 첫째, 데이터 분석적 사고력 향상을 위해 발견학습 모형에 딥러닝 기법을 적용하였다. 이는 데이터의 관계를 나타내주는 모델을 딥러닝 기법을 사용하여 생성하고, 새로운 데이터를 이 모델에 적용하여 데이터를 분석하는 과정을 경험할 수 있는 학습 방법이다. 둘째, 이 학습 방법에 따른 수업을 위한 딥러닝 기반 학습 시스템을 개발하였다. 학습자가 입력한 데이터를 딥러닝 기법을 사용하여 데이터의 모형을 생성하고, 이 모델을 적용할 수 있는 시스템을 개발하였다. 딥러닝을 적용한 발견학습 및 시스템 설계 연구는 데이터의 중요성이 더욱 커지는 미래 사회에서 학습자의 데이터 분석적 사고력을 향상시킬 수 있는 새로운 접근이 될 것으로 기대한다.","The purpose of this study is to develop a deep learning based learning system for improving learner's data analytical thinking ability. The contents of the study are as follows. First, deep learning was applied to the discovery learning model to improve data analytical thinking ability. This is a learning method that can generate a model showing the relationship of given data by using the deep learning method, then apply the model to new data to obtain the result. Second, we developed a deep learning based system for DBD learning model. Specifically, we developed a system to generate a model of data using the deep learning method and to apply this model. The research of deep learning based learning system will be a new approach to improve learner's data analytical thinking ability in future society where data becomes more important."
통합메모리를 이용한 임베디드 환경에서의 딥러닝 프레임워크 성능 개선과 평가,2017,"['임베디드 시스템', 'GPU', '딥러닝', '저전력', '이미지 식별', 'embedded system', 'deep learning', 'low power', 'image recognition']","최근, 딥러닝을 사용 가능한 임베디드 디바이스가 상용화됨에 따라 임베디드 시스템 영역에서도 딥러닝 활용에 대한 다양한 연구가 진행되고 있다. 그러나 임베디드 시스템을 고성능 PC 환경과 비교하면 상대적으로 저사양의 CPU/GPU 프로세서와 메모리를 탑재하고 있으므로 딥러닝 기술의 적용에 있어서 많은 제약이 있다. 본 논문에서는 다양한 최신 딥러닝 네트워크들을 임베디드 디바이스에 적용했을때의 성능을 시간과 전력이라는 관점에서 실험적으로 평가한다. 또한, 호스트 CPU와 GPU 디바이스간의 메모리를 공유하는 임베디드 시스템들의 아키텍처적인 특성을 이용하여 메모리 복사를 줄임으로써 실시간 성능과 저전력성을 높이는 방법을 제시한다. 제안된 방법은 대표적인 공개 딥러닝 프레임워크인 Caffe를 수정하여 구현되었으며, 임베디드 GPU를 탑재한 NVIDIA Jetson TK1에서 성능평가 되었다. 실험결과, 대부분의 딥러닝 네트워크에서 뚜렷한 성능향상을 관찰할 수 있었다. 특히, 메모리 사용량이 높은 AlexNet에서 약 33%의 이미지 인식 속도 단축과 50%의 소비 전력량 감소를 관찰할 수 있었다.","Recently, many embedded devices that have the computing capability required for deep learning have become available; hence, many new applications using these devices are emerging. However, these embedded devices have an architecture different from that of PCs and highperformance servers. In this paper, we propose a method that improves the performance of deep-learning framework by considering the architecture of an embedded device that shares memory between the CPU and the GPU. The proposed method is implemented in Caffe, an open-source deep-learning framework, and is evaluated on an NVIDIA Jetson TK1 embedded device. In the experiment, we investigate the image recognition performance of several state-of-the-art deeplearning networks, including AlexNet, VGGNet, and GoogLeNet. Our results show that the proposed method can achieve significant performance gain. For instance, in AlexNet, we could reduce image recognition latency by about 33% and energy consumption by about 50%."
문서의 감정 분류를 위한 주목 방법 기반의 딥러닝 인코더,2017,"['감정 분류', '딥러닝 인코더', '장·단기 기억망', '주목 방법', 'sentiment classification', 'deep learning encoder', 'long short-term memory network', 'attention method']","최근 감정 분류 분야에서 딥러닝 인코더 기반의 접근 방법이 활발히 적용되고 있다. 딥러닝 인코더 기반의 접근 방법은 가변 길이 문장을 고정 길이 문서 벡터로 압축하여 표현한다. 하지만 딥러닝 인코더에 흔히 사용되는 구조인 장･단기 기억망(Long Short-Term Memory network) 딥러닝 인코더는 문서가 길어지는 경우, 문서 벡터 표현의 품질이 저하된다고 알려져 있다. 본 논문에서는 효과적인 감정 문서의 분류를 위해, 장･단기 기억망의 출력을 중요도에 따라 가중합하여 문서 벡터 표현을 생성하는 주목방법 기반의 딥러닝 인코더를 사용하는 것을 제안한다. 또한, 주목 방법 기반의 딥러닝 인코더를 문서의 감정 분류 영역에 맞게 수정하는 방법을 제안한다. 제안하는 방법은 윈도우 주목 방법(Window Attention Method)을 적용한 단계와 주목 가중치 재조정(Weight Adjustment) 단계로 구성된다. 윈도우 주목 방법은 한 단어 이상으로 구성된 감정 자질을 효과적으로 인식하기 위해, 윈도우 단위로 가중치를 학습한다. 주목 가중치 재조정에서는 학습된 가중치를 평활화(Smoothing) 한다, 실험 결과, 본 논문에서 제안하는 방법은 정확도 기준으로 89.67%의 성능을 나타내어 장･단기 기억망 인코더보다 높은 성능을 보였다.","Recently, deep learning encoder-based approach has been actively applied in the field of sentiment classification. However, Long Short-Term Memory network deep learning encoder, the commonly used architecture, lacks the quality of vector representation when the length of the documents is prolonged. In this study, for effective classification of the sentiment documents, we suggest the use of attention method-based deep learning encoder that generates document vector representation by weighted sum of the outputs of Long Short-Term Memory network based on importance. In addition, we propose methods to modify the attention method-based deep learning encoder to suit the sentiment classification field, which consist of a part that is to applied to window attention method and an attention weight adjustment part. In the window attention method part, the weights are obtained in the window units to effectively recognize feeling features that consist of more than one word. In the attention weight adjustment part, the learned weights are smoothened. Experimental results revealed that the performance of the proposed method outperformed Long Short-Term Memory network encoder, showing 89.67% in accuracy criteria."
딥러닝을 이용한 SAR영상 목표물 인식 연구 동향,2017,[],"다양한 컴퓨터 비전 문제들에서 딥러닝을 활용한 알고리즘들이 괄목할만한 성능을 보여주었고, 이에 따라서Synthetic Aperture Radar (SAR) 영상 목표물 인식을 위해 딥러닝 기법을 활용하는 연구들이 진행되어 왔다[1]-[5]. 본고에서는 딥러닝을 이용한 SAR영상 목표물 인식을 위한 연구 동향에 대해 조사하였다.  SAR(합성개구레이다)레이다는 짧은 파장의 Chirp 신호 같은 펄스 전자파를 대상 지역(영역)에 보내고 그 지역의 구조물 특성에 의해 결정되는 반사파를 레이다 안테나로 다시 수신하여 돌아오는 시간과 강도를 측정하여 영상을 구성하는 레이다 시스템이다. SAR 시스템은 날씨와 시간 조건에 상관없이 2차원 영상을 획득하는 것이 가능하기 때문에 주로 감시정찰 분야에 많이 활용되어 왔다.  자연영상의 경우와 달리 SAR영상은 획득과정이 매우 어렵고 시간과 비용이 많이 소요된다. 따라서, 획득된 데이터는 우리가 일반적으로 구할 수 있는 자연영상과는 비교 할 수 없을 정도로 양이 제한되어 있다. 특정 지역 및 목표물 등에 대한 SAR 데이터는 기밀사항으로 분류되어 접근이 제한되어 있는 경우가 많다.  최근 영상 인식 분야에서 괄목할 만한 성능 향상을 보인 딥러닝 기반 콘볼루션 뉴럴 네트워크(CNN: Convolution Neural Network)를 SAR 영상 분류 응용에 활용하는 연구가 활발히 진행되고 있다[1]-[5]. 기본적으로 많은 필터를 사용하여 특징 추출 및 특징 매핑, 특징 분류를 하나의 통합된 시스템에서 학습과정을 필터 파라미터 및 네트워크 연결 파라미터를 구하는 과정은 많은 훈련 데이터가 필요하다. 그러나 SAR 영상의 경우 전술한 바와 같이 영상 획득과정에 많은 비용과 시간이 소요되기 때문에 충분한 학습데이터를 확보하는 것이 매우 어렵고, 제한적인 데이터를 활용하여 CNN 기반 SAR 영상 인식 시스템을 학습하는 것은 과적합(over-fitting) 문제를 야기시킨다. SAR 영상 목표물 인식을 위하여 과적합문제를 해결하면서 딥러닝을 활용하는 알고리즘들이 연구되었다.  Chen은 auto-encoder를 활용하여 효율적으로 특징을 추출함으로써 SAR영상 목표물 인식 네트워크의 과적합문제를 해결하고자 하였다[1]. Li는 layer-by-layer 비지도 학습을 통하여 과적합문제를 완화하면서 깊은 네트워크를 학습시켰다[2]. Dong의 경우는 SAR영상을 위한 데이터 증대(data augmentation) 알고리즘을 고안하였고, 새로 생성된 많은 수의 학습데이터를 이용하여 깊은 네트워크를 학습시켜 높은 인식 성능을 보여주었다[3]. Chen은 CNN의 대부분의 학습 파라미터가 완전 연결층(fully connected (FC) layer)에서 발생한다는 점에 착안하여, 모든 계층이 콘볼루션(convolution) 계층인 A-Convnet을 고안하였다[4]. A-Convnet은 적은 수의 파라미터로 효율적인 특징 추출이 가능하여 높은 인식률을 보여주었다. 또한, Youm의 경우에는 통합된 하나의 네트워크가 다양한 편광(polarization) 타입의 SAR영상을 인식하게 학습할 수 있는 input scaling 알고리즘을 고안하였다[5]. Input scaling은 특징맵의 크기를 polarization 수에 변화에 강인하게 만들었으며, 이는 안정적인 네트워크 학습을 가능하게 하고, polarization간의 상관관계를 활용하게 하여 높은 인식률을 가지는 네트워크 학습을 가능하게 하였다.",다국어 초록 정보 없음
딥러닝 기술을 활용한 압축센싱 신호 복원방법 분석,2017,"['Approximate Message Passing', 'Compressed Sensing', 'Convolutional Neural Network', 'Deep Learning', 'Sparse Signal']","압축센싱(Compressed Sensing)은 선형 역문제(inverse problem)를 다루고 있으며, 그 이론적 연구결과는 관련분야에 많은 영향을 주어 놀랄 만한 연구성과를 발표하였다. 그러나 압축센싱을 실제 환경에 적용하기 위해서는 두 가지 중요한 문제가 남아 있다. 하나는 실시간에 가까운 복원 성능이 보장되어야 하며, 다른 하나는 신호가 희소성을 갖도록 전처리가 가능해야 한다는 점이다. 이에 대한 문제들을 해결하고자 딥러닝(deep learning) 기술을 활용한 압축센싱 신호 복원방법이 최근에 등장하였다. 본 논문에서는 딥러닝 기반의 압축센싱 신호 복원방법을 고찰하고 최신 연구결과를 비교 · 분석하고자 한다. 관련 연구결과에서는 실시간에 가까운 복원 시간에 도달하였으며, 기존 복원방법 대비 더 우수한 복원 성능을 보여 주었다. 최근 연구에서 보여준 딥러닝을 활용한 압축센싱 신호 복원방법은 압축센싱의 활용가치를 더욱 높일 뿐만 아니라 신호처리와 통신분야에서 크게 활용될 수 있을 것으로 기대된다.","Compressed Sensing(CS) deals with linear inverse problems. The theoretical results of CS have had an impact on inference problems and presented amazing research achievements in the related fields including signal processing and information theory. However, in order for CS to be applied in practical environments, there are two significant challenges to be solved. One is to guarantee in real time recovery of CS signals, and the other is that the signals have to be sparse. To this end, the latest researches using deep learning technology have emerged. In this paper, we consider CS problems based on deep learning and discuss the latest research results. And the approaches for CS signal reconstruction using deep learning show superior results in terms of recovery time and performance. It is expected that the approaches for CS reconstruction using deep learning shown in recent studies can not only raise the possibility of utilization of CS, but also be highly exploited in the fields of signal processing and communication areas."
딥러닝을 PC에 적용하기 위한 메모리 최적화에 관한 연구,2017,"['Image Processing', 'Machine Learning', 'Deep Learning', 'Reduced Learning Time', 'Data Reduction']","본 논문에서는 딥러닝을 PC에 적용하기 위한 메모리 최적화에 관한 알고리즘을 제안한다. 제안된 알고리즘은 일반 PC에서 기존의 딥러닝 구조에서 요구되는 연산처리 과정과 데이터 량을 감소시켜 메모리 및 연산처리 시간을 최소화한다. 본 논문에서 제안하는 알고리즘은 분별력이 있는 랜덤 필터를 이용한 컨볼루션 층 구성 과정, PCA를 이용한 데이터 축소 과정, SVM을 사용한 CNN 구조 생성 등의 3과정으로 이루어진다. 분별력이 있는 랜덤 필터를 이용한 컨볼루션 층 구성 과정에서는 학습과정이 필요치 않아서 전체적인 딥러닝의 학습시간을 단축시킨다. PCA를 이용한 데이터 축소 과정에서는 메모리량과 연산처리량을 감소시킨다. SVM을 사용한 CNN 구조 생성에서는 필요로 하는 메모리량과 연산 처리량의 감소 효과를 극대화 시킨다. 제안된 알고리즘의 성능을 평가하기 위하여 예일대학교의 Extended Yale B 얼굴 데이터베이스를 사용하여 실험한 결과, 본 논문에서 제안하는 알고리즘이 기존의 CNN 알고리즘과 비교하여 비슷한 성능의 인식률을 보이면서 연산 소요시간과 메모리 점유율에 있어 우수함이 확인되었다. 본 논문에서 제안한 알고리즘을 바탕으로 하여 일반 PC에서도 많은 데이터와 연산처리를 가진 딥러닝 알고리즘을 구현할 수 있으리라 기대된다.","In this paper, we propose an algorithm for memory optimization to apply deep learning to PC. The proposed algorithm minimizes the memory and computation processing time by reducing the amount of computation processing and data required in the conventional deep learning structure in a general PC. The algorithm proposed in this paper consists of three steps: a convolution layer configuration process using a random filter with discriminating power, a data reduction process using PCA, and a CNN structure creation using SVM. The learning process is not necessary in the convolution layer construction process using the discriminating random filter, thereby shortening the learning time of the overall deep learning. PCA reduces the amount of memory and computation throughput. The creation of the CNN structure using SVM maximizes the effect of reducing the amount of memory and computational throughput required. In order to evaluate the performance of the proposed algorithm, we experimented with Yale University""s Extended Yale B face database. The results show that the algorithm proposed in this paper has a similar performance recognition rate compared with the existing CNN algorithm. And it was confirmed to be excellent. Based on the algorithm proposed in this paper, it is expected that a deep learning algorithm with many data and computation processes can be implemented in a general PC."
"딥러닝 기반 얼굴 검출, 랜드마크 검출 및 얼굴 인식 기술 연구 동향",2017,[],"본 논문에서는 최근 각광받고 있는 Convolutional Neural Network(CNN)과 같은 딥러닝 기반의 얼굴 인식 연구 동향을 살펴 보고자 한다. 얼굴 인식은 입력 영상이 들어왔을 때 자동으로 누구인지 알아내는 알고리즘으로 크게 얼굴 검출, 얼굴 랜드마크 검출 및 얼굴 특징 추출로 나누어진다. 본 논문에서는 얼굴 검출, 랜드마크 검출 및 얼굴 특징 추출에 특화된 딥러닝 알고리즘을 하나씩 살펴보고 이들이 어떻게 발전해 왔는지를 확인하고자 한다. 특히, 딥러닝 기반 얼굴 인식알고리즘들은 딥러닝 기반 물체 인식의 발전 방향과 유사하게 진행되어 오다가 최근에는 얼굴 인식에 특화된 딥러닝 아키텍처 형태로 발전하고 있다. 어떤 방향이 얼굴 인식에 더 도움이 될지에 대해서도 확인하고 실제로 어떤 문제를 해결하고 있는지 확인하고자 한다.",다국어 초록 정보 없음
자아 중심 주제 인용분석을 활용한 딥러닝 연구동향 분석,2017,"['딥러닝', '기계학습', '연구동향 분석', '자아중심 주제인용분석', '공저 네트워크', '동시인용분석', '인용 이미지 키워드', '인용 성장지수', 'deep learning', 'machine learning', 'research trends analysis', 'ego centered topic citation analysis', 'coauthorship networks', 'co-citation analysis', 'citation image keywords', 'citation growth index']","최근 들어 다양한 분야에서 딥러닝이 혁신적인 기계학습 기법으로 급속하게 확산되고 있다. 이 연구에서는 딥러닝 연구동향을 분석하기 위해서 자아 중심 주제 인용분석 기법을 변형하여 응용해보았다. 이를 위해 Web of Science에서 ‘deep learning’으로 탐색하여 검색된 문헌 중 소수의 씨앗 문헌으로부터 인용 관계를 통해 분석 대상 문헌을 확보하는 방법을 시도하였다. 씨앗 문헌을 인용하는 최근 논문들을 딥러닝 분야의 현행 연구를 반영하는 자아 문헌집합으로 설정하였다. 자아 문헌으로부터 빈번히 인용된 선행 연구들은 딥러닝 분야의 연구 주제를 나타내는 인용 정체성 문헌집합으로 설정하였다. 자아 문헌집합에 대해서는 공저 네트워크 분석을 비롯한 정량적 분석을 실시하여 주요 국가와 연구 기관을 파악하였다. 인용 정체성 문헌들에 대해서는 동시인용 분석을 실시하고, 도출된 문헌 군집을 인용하는 주요 키워드인 인용 이미지 키워드를 파악하여 주요 문헌과 주요 연구 주제를 밝혀내었다. 마지막으로 특정 주제에 대한 인용 영향력이 성장하는 추세를 반영하는 인용 성장지수 CGI를 제안하고 측정하여 딥러닝 분야의 선도 연구 주제가 변화하는 동향을 밝혔다.","Recently, deep learning has been rapidly spreading as an innovative machine learning technique in various domains. This study explored the research trends of deep learning via modified ego centered topic citation analysis. To do that, a few seed documents were selected from among the retrieved documents with the keyword ‘deep learning’ from Web of Science, and the related documents were obtained through citation relations. Those papers citing seed documents were set as ego documents reflecting current research in the field of deep learning. Preliminary studies cited frequently in the ego documents were set as the citation identity documents that represents the specific themes in the field of deep learning. For ego documents which are the result of current research activities, some quantitative analysis methods including co-authorship network analysis were performed to identify major countries and research institutes. For the citation identity documents, co-citation analysis was conducted, and key literatures and key research themes were identified by investigating the citation image keywords, which are major keywords those citing the citation identity document clusters. Finally, we proposed and measured the citation growth index which reflects the growth trend of the citation influence on a specific topic, and showed the changes in the leading research themes in the field of deep learning."
딥러닝 모형의 복잡도에 관한 연구,2017,"['법러닝', '복잡도', '선형 영역', '심층 신경망 함수', '함수 궤적', '함수 전이', 'Complexity', 'deep learning', 'deep neural network', 'linear regions', 'trajectory of a function', 'transition of a function.']","딥러닝은 영상 인식, 음성 인식 등 기존의 머신 러닝 기법들로 해결이 어려웠던 분야에서 매우 우수한 성능을 보였고, 그로 인해 딥러 닝의 폭발적인 연구의 증가가 있었다. 좋은 성능을 보이는 모형 및 모수 추정 방법에 대한 연구들이 주를 이루고 있는 현 흐름 속에서 딥러닝의 이론적인 연구 또한 조심스럽게 진행되고 있다. 본 논문에서는 딥러닝의 성공을 딥러닝 함수가 복잡한 함수를 효율적으로 잘 표현할 수 있음에서 해답을 찾고, 이에 관련된 이론적인 연구들을 조사하여 분석하고자 한다.","Deep learning has been studied explosively and has achieved excellent performance in areas like image and speech recognition, the application areas in which computations have been challenges with ordinary machine learning techniques. The theoretical study of deep learning has also been researched toward improving the performance. In this paper, we try to find a key of the success of the deep learning in rich and efficient expressiveness of the deep learning function, and analyze the theoretical studies related to it."
딥러닝 프레임워크 비교 및 분석,2017,[],딥러닝 (Deep Learning)을 효과적으로 연구하고 개발할 수 있도록 도와주는 다양한 딥러닝 프레임워크(Deep Learning Framework)가 있다. 딥러닝 프레임워크는 현재 100 가지도 넘는 종류가 있다. 그렇기 때문에 개발의 목적에 가장 적합한 딥러닝 프레임워크를 선택하는 것은 쉽지 않다. 본고에서는 5 가지 대표적인 딥러닝 프레임워크에 대해서 각각의 특징을 분석하고 비교한다. 이를 통하여 딥러닝을 개발하기 전에 개발 목적에 적합한 프레임워크를 선택할 수 있는 간단한 안목을 제시한다.,다국어 초록 정보 없음
